Open,High,Low,Close,Volume
112.0,114.5,111.0,113.0,37445336
113.0,118.0,112.5,116.5,67562175
116.5,117.0,114.5,115.0,24654726
115.5,116.0,113.0,113.5,27690608
113.5,115.5,112.0,114.5,34214246
114.5,115.5,113.0,113.5,15037762
113.5,114.5,113.0,114.5,5723998
114.5,114.5,113.0,114.0,9500441
114.0,114.5,112.0,112.5,10137347
112.5,113.5,112.0,112.0,9400298
112.5,112.5,111.0,112.0,11459125
112.0,113.0,111.0,111.5,7675118
111.5,112.0,110.5,110.5,12814794
111.0,111.0,109.5,110.0,13141967
110.0,110.5,109.0,110.0,12974466
110.0,110.0,108.5,109.5,14247029
109.5,111.0,108.0,109.5,20161414
110.0,110.5,109.0,110.0,11765026
108.5,109.5,103.5,105.0,23745883
105.0,107.5,105.0,106.5,17690698
106.5,111.0,106.5,110.0,25255659
110.0,111.0,108.5,109.0,17493862
109.0,112.0,108.5,111.5,14568380
111.5,112.5,110.5,112.5,14627110
112.5,114.0,111.5,113.5,19408517
113.5,114.0,111.0,112.0,11226425
112.0,112.5,111.5,112.5,6017170
112.5,113.0,112.0,112.5,8585408
112.5,114.0,112.0,113.0,8423290
113.0,113.5,112.5,113.0,5935956
113.0,113.5,112.0,113.0,4555394
113.0,113.0,110.5,110.5,14969003
111.0,111.5,110.5,111.0,7441069
111.0,112.0,111.0,111.5,8355477
111.5,113.0,111.5,112.0,11243852
112.5,113.0,112.0,112.0,10306066
112.5,119.0,111.5,117.0,41684334
117.0,119.0,114.0,117.5,33017257
118.0,120.5,117.5,119.5,32026165
120.0,120.5,115.0,116.5,29914452
116.5,117.5,115.5,116.5,12328609
117.0,117.0,115.0,115.0,10375045
115.0,115.5,114.0,115.0,12352555
115.5,116.0,114.5,115.0,4585684
115.0,116.0,114.0,115.0,6118076
115.0,115.5,114.0,115.0,3592826
115.0,115.0,114.0,114.0,2784310
114.0,114.5,112.5,113.0,8415319
113.0,113.5,112.0,113.0,10173348
112.5,113.5,112.5,113.0,3724406
113.0,113.5,112.5,113.0,4225874
113.0,113.5,112.5,113.0,4787085
112.5,114.0,112.5,113.5,10009623
113.5,113.5,113.0,113.0,7127188
114.0,115.5,112.0,112.5,22128079
113.0,113.0,111.0,111.5,17857116
111.5,111.5,109.0,110.0,18722890
110.5,111.0,109.5,110.5,7757716
110.0,110.5,109.0,110.0,7427433
110.0,111.0,109.5,111.0,10398177
110.5,111.0,109.0,109.5,7664239
109.0,110.0,109.0,109.5,6369801
110.0,110.0,109.0,109.0,3625369
109.0,110.0,109.0,110.0,4290160
110.0,110.0,109.0,109.5,3100019
109.5,109.5,109.0,109.0,3092141
109.5,109.5,109.0,109.0,6443493
109.5,109.5,108.0,108.5,14737941
109.0,109.0,107.5,108.0,21240364
107.5,108.5,107.0,107.5,13392089
107.5,108.5,107.5,108.0,11383802
108.5,108.5,107.5,108.0,13491997
112.5,114.5,111.5,114.0,13193078
113.5,114.5,112.5,114.0,16681354
114.5,114.5,112.5,113.0,8205274
113.0,114.5,112.5,114.0,11919354
114.0,114.5,113.5,114.0,6045646
113.5,114.5,113.5,113.5,8286179
113.5,114.0,113.0,113.5,4951893
113.5,117.5,113.5,117.0,32197779
116.5,118.0,116.0,117.0,15494251
116.5,117.5,116.0,116.5,9079533
116.5,117.0,116.0,116.0,4679820
116.0,116.5,115.5,116.0,4987226
115.5,116.0,115.5,115.5,3781740
115.5,117.0,115.5,116.5,6909338
116.5,117.0,115.5,116.0,4675854
116.0,116.5,116.0,116.0,4197860
116.0,116.5,115.0,115.0,8578173
115.0,116.0,115.0,115.0,7447392
119.5,119.5,114.0,114.5,19444372
114.5,116.0,113.5,114.0,21375852
113.5,114.0,113.0,114.0,12206808
113.5,116.0,113.5,116.0,11603616
115.5,117.0,115.0,116.5,15432235
116.5,116.5,115.0,115.0,6278314
115.0,115.5,114.5,114.5,5838022
114.5,115.0,114.5,114.5,2846929
115.0,115.0,113.0,113.5,16923140
113.5,114.0,113.0,114.0,6491331
113.5,114.0,113.5,113.5,4207107
113.5,114.0,113.0,113.5,4565383
113.5,114.5,113.5,114.0,6537604
113.5,114.5,113.5,114.5,3038967
114.0,115.0,114.0,114.5,5988007
114.5,115.0,114.0,114.5,8017880
114.5,115.0,113.5,114.0,8467699
114.5,114.5,114.0,114.5,6940729
115.0,119.5,113.0,119.0,47928493
119.0,122.0,118.0,119.0,36622774
