Date,Open,High,Low,Close,Volume
2026-05-21 05:15:00+00:00,2245.0,2250.0,2240.0,2245.0,1248864
2026-05-22 05:15:00+00:00,2260.0,2260.0,2250.0,2260.0,1632451
2026-05-25 05:15:00+00:00,2295.0,2305.0,2290.0,2305.0,1364812
2026-05-26 05:15:00+00:00,2275.0,2285.0,2270.0,2280.0,1489757
2026-05-27 05:15:00+00:00,2315.0,2315.0,2305.0,2315.0,1069326
2026-05-28 05:15:00+00:00,2280.0,2285.0,2275.0,2275.0,1752306
2026-05-29 05:15:00+00:00,2360.0,2370.0,2360.0,2370.0,1543765
2026-06-01 05:15:00+00:00,2375.0,2375.0,2365.0,2370.0,1780170
2026-06-02 05:15:00+00:00,2395.0,2395.0,2380.0,2385.0,1320091
2026-06-03 05:15:00+00:00,2425.0,2430.0,2420.0,2430.0,1372367
2026-06-04 05:15:00+00:00,2400.0,2400.0,2390.0,2395.0,2266499
2026-06-05 05:15:00+00:00,2350.0,2360.0,2350.0,2360.0,1874285
2026-06-08 05:15:00+00:00,2305.0,2305.0,2300.0,2305.0,2150977
2026-06-09 05:15:00+00:00,2315.0,2320.0,2310.0,2320.0,1389815
2026-06-10 05:15:00+00:00,2265.0,2265.0,2260.0,2265.0,5024676
2026-06-11 05:15:00+00:00,2255.0,2255.0,2250.0,2250.0,1377297
2026-06-12 05:15:00+00:00,2300.0,2300.0,2290.0,2295.0,1564700
2026-06-15 01:00:00+00:00,2360.0,2365.0,2345.0,2355.0,1831791
2026-06-15 01:15:00+00:00,2355.0,2360.0,2345.0,2350.0,1170663
2026-06-15 01:30:00+00:00,2350.0,2365.0,2350.0,2365.0,2134740
2026-06-15 01:45:00+00:00,2360.0,2365.0,2355.0,2360.0,1467174
2026-06-15 02:00:00+00:00,2360.0,2365.0,2355.0,2355.0,623537
2026-06-15 02:15:00+00:00,2355.0,2360.0,2350.0,2355.0,623377
2026-06-15 02:30:00+00:00,2360.0,2360.0,2355.0,2360.0,565430
2026-06-15 02:45:00+00:00,2355.0,2365.0,2355.0,2360.0,1702488
2026-06-15 03:00:00+00:00,2360.0,2365.0,2360.0,2365.0,364129
2026-06-15 03:15:00+00:00,2360.0,2365.0,2360.0,2360.0,594828
2026-06-15 03:30:00+00:00,2365.0,2375.0,2360.0,2370.0,3157616
2026-06-15 03:45:00+00:00,2370.0,2370.0,2365.0,2365.0,239703
2026-06-15 04:00:00+00:00,2365.0,2370.0,2365.0,2365.0,328546
2026-06-15 04:15:00+00:00,2365.0,2370.0,2365.0,2365.0,550178
2026-06-15 04:30:00+00:00,2370.0,2370.0,2365.0,2365.0,433441
2026-06-15 04:45:00+00:00,2365.0,2370.0,2360.0,2365.0,566252
2026-06-15 05:00:00+00:00,2365.0,2370.0,2360.0,2365.0,1328643
2026-06-15 05:15:00+00:00,2365.0,2370.0,2365.0,2370.0,912149
2026-06-16 01:00:00+00:00,2375.0,2380.0,2350.0,2355.0,3562901
2026-06-16 01:15:00+00:00,2355.0,2365.0,2350.0,2355.0,1454159
2026-06-16 01:30:00+00:00,2360.0,2365.0,2350.0,2360.0,1023936
2026-06-16 01:45:00+00:00,2365.0,2365.0,2360.0,2360.0,645084
2026-06-16 02:00:00+00:00,2360.0,2365.0,2355.0,2355.0,1045097
2026-06-16 02:15:00+00:00,2360.0,2370.0,2355.0,2365.0,1481862
2026-06-16 02:30:00+00:00,2365.0,2375.0,2365.0,2375.0,1286210
2026-06-16 02:45:00+00:00,2375.0,2375.0,2365.0,2365.0,701935
2026-06-16 03:00:00+00:00,2365.0,2370.0,2365.0,2365.0,67303
