Open,High,Low,Close,Volume
77549.9765625,77566.28125,77368.46875,77368.46875,292657152
77368.0234375,77481.71875,77337.359375,77417.1328125,0
77404.578125,77494.9375,77327.3671875,77399.9921875,215887872
77392.9921875,77438.6796875,77294.296875,77304.2109375,109248512
77277.3515625,77446.0078125,77239.90625,77436.0,62040064
77440.0,77468.828125,77369.8515625,77386.6484375,49461248
77384.140625,77448.0,77281.0625,77447.9921875,27461632
77447.9921875,77596.609375,77447.9921875,77539.296875,83853312
77557.359375,77631.6328125,77551.2578125,77596.2734375,63305728
77596.65625,77659.328125,77541.6171875,77592.7890625,179204096
77591.078125,77629.2109375,77544.3828125,77556.71875,206817280
77556.7265625,77616.8671875,77515.9921875,77598.390625,0
77598.3984375,77705.953125,77598.390625,77642.78125,59453440
77642.78125,77728.8203125,77606.296875,77728.8203125,0
77731.703125,77738.296875,77674.9921875,77710.640625,95848448
77711.2265625,77736.5234375,77670.9296875,77695.8671875,1679360
77705.25,77806.3125,77705.25,77794.28125,0
77806.0390625,77806.0390625,77701.796875,77725.421875,186849280
77732.671875,77732.6796875,77601.15625,77615.859375,348506112
77615.859375,77618.0,77556.1875,77577.828125,54550528
77562.84375,77649.96875,77546.46875,77603.0,46145536
77603.0078125,77623.9921875,77492.0703125,77531.6875,57370624
77531.9609375,77560.0234375,77449.953125,77504.9765625,71143424
77516.4609375,77596.7890625,77374.03125,77408.3828125,61222912
77406.7734375,77444.359375,77347.9375,77407.84375,74076160
77395.171875,77411.1484375,77327.390625,77383.2109375,104163328
77378.34375,77383.21875,77318.3671875,77368.1484375,95367168
77369.84375,77429.8984375,77277.203125,77340.21875,268146688
77315.796875,77339.9296875,77198.0,77289.65625,108455936
77294.0703125,77440.0390625,77294.0703125,77425.359375,147671040
77427.8984375,77461.7734375,77357.921875,77388.8671875,227926016
77378.1171875,77378.1171875,77309.78125,77320.6328125,306450432
77323.671875,77382.1328125,77279.59375,77317.53125,12670976
77325.9765625,77458.90625,77325.9765625,77406.390625,0
77406.390625,77414.046875,77131.5078125,77235.3515625,196411392
77235.34375,77264.7734375,77160.0078125,77177.859375,447348736
77153.9921875,77201.46875,77115.53125,77119.5703125,161116160
77117.3203125,77227.953125,77112.078125,77173.6796875,162537472
77173.6875,77231.328125,77111.4765625,77218.2265625,73097216
77218.2265625,77270.2578125,77172.078125,77213.9921875,55195648
77210.6484375,77260.0,77195.9921875,77218.1484375,156026880
77207.9296875,77264.46875,77165.4765625,77247.578125,98039808
77263.078125,77278.03125,77210.0078125,77241.6484375,0
77240.65625,77248.828125,77183.8515625,77224.671875,97337344
77238.3515625,77261.7578125,77195.2109375,77204.0078125,198922240
77205.9921875,77256.359375,77081.9375,77217.5,39346176
77223.1484375,77256.359375,77203.8671875,77245.1171875,138330112
77245.1171875,77342.0625,77223.9921875,77342.0625,90699776
77344.359375,77460.8203125,77303.9609375,77446.328125,88145920
77469.2265625,77491.2109375,77312.6171875,77339.03125,132300800
77339.0390625,77380.0,77309.9921875,77341.578125,153985024
77341.59375,77446.328125,77341.59375,77446.328125,68497408
77447.03125,77469.328125,77374.46875,77406.59375,38670336
77406.6015625,77442.3828125,77206.6171875,77206.6171875,0
77181.3671875,77272.703125,77032.78125,77083.796875,0
77115.0,77207.7109375,77058.0,77196.1328125,93501440
77108.9765625,77138.2421875,76905.8828125,76971.0625,89882624
76968.3984375,77011.5390625,76678.9296875,76760.0,128792576
76754.8671875,76755.9921875,76678.0078125,76725.171875,0
76721.703125,76769.3671875,76661.3984375,76674.8984375,432906240
76612.140625,76861.8671875,76574.6875,76678.9765625,331380736
76686.6171875,76816.0,76491.3515625,76816.0,60788736
76798.5625,76929.796875,76543.2578125,76620.8984375,593115136
76620.0234375,76729.65625,76559.9765625,76698.25,293230592
76690.90625,76799.9921875,76680.0,76782.46875,23441408
76773.0390625,76849.0078125,76715.609375,76844.3125,109320192
76844.3203125,76880.8671875,76779.2578125,76803.25,56516608
76803.25,76912.3203125,76803.25,76863.0,361105408
76869.7109375,76924.9921875,76802.4296875,76866.921875,0
76872.203125,76976.2890625,76686.6328125,76976.2890625,0
77001.5703125,77001.5703125,76829.4375,76878.4375,0
76878.4375,76885.171875,76651.96875,76654.75,69906432
76652.1875,76730.0,76593.640625,76730.0,72527872
76721.90625,76812.0,76705.9921875,76716.3125,91164672
76706.71875,76724.21875,76484.171875,76493.9296875,457216000
76486.7421875,76502.2890625,76005.9921875,76443.7578125,428537856
76443.9765625,76494.703125,76105.328125,76143.7734375,18710528
76145.28125,76316.046875,76103.9296875,76165.5078125,289777664
76176.0,76176.0,75573.0625,75713.046875,1098289152
75685.0078125,75844.171875,75589.96875,75748.6328125,406093824
75797.703125,75920.0,75740.921875,75829.703125,227221504
75815.546875,75894.0234375,75795.9921875,75870.3671875,207503360
75850.0,75874.9765625,75733.203125,75841.2890625,193982464
75839.2734375,75991.8125,75804.4765625,75895.203125,344330240
75864.453125,75944.3671875,75860.59375,75899.4375,161970176
75895.3125,75947.890625,75869.796875,75947.8828125,0
75947.9609375,75994.3984375,75841.2890625,75890.96875,200841216
75906.9765625,75975.859375,75879.890625,75880.2890625,304160768
75880.2890625,75894.4921875,75750.0,75810.421875,97019904
75816.921875,75816.921875,75653.171875,75687.9921875,108425216
75690.7265625,75769.9375,75467.109375,75557.7578125,139018240
75557.75,75665.7578125,75542.0390625,75639.9765625,245762048
75649.359375,75781.1484375,75649.359375,75758.5703125,71067648
75758.5703125,75770.109375,75583.0,75583.0,98447360
75599.9921875,75723.046875,75565.3828125,75702.9375,189173760
