Open,High,Low,Close,Volume
4465.7998046875,4472.2001953125,4465.39990234375,4471.2001953125,166
4471.5,4472.5,4464.0,4467.10009765625,731
4467.39990234375,4467.7001953125,4462.2001953125,4464.89990234375,402
4464.60009765625,4465.10009765625,4458.60009765625,4464.2001953125,606
4464.0,4475.89990234375,4463.7998046875,4471.60009765625,656
4471.5,4477.89990234375,4469.2001953125,4470.60009765625,855
4470.89990234375,4481.7998046875,4470.10009765625,4474.39990234375,1048
4474.5,4477.2001953125,4465.2001953125,4475.2001953125,916
4474.7998046875,4479.7998046875,4469.7998046875,4474.0,829
4475.0,4480.7001953125,4470.10009765625,4474.39990234375,1418
4474.2001953125,4475.10009765625,4463.60009765625,4469.2998046875,926
4469.60009765625,4481.10009765625,4467.89990234375,4476.7001953125,1623
4476.39990234375,4487.7998046875,4474.5,4483.89990234375,1708
4483.39990234375,4486.60009765625,4479.0,4485.10009765625,975
4485.39990234375,4488.7001953125,4478.60009765625,4483.7001953125,1665
4483.60009765625,4484.2998046875,4477.5,4480.89990234375,1297
4481.10009765625,4486.60009765625,4479.10009765625,4484.7998046875,1478
4484.60009765625,4489.39990234375,4480.60009765625,4489.39990234375,1255
4489.2998046875,4492.0,4479.10009765625,4482.0,1224
4481.89990234375,4492.7998046875,4481.89990234375,4486.5,1274
4486.2001953125,4488.7001953125,4482.0,4482.60009765625,2707
4482.7998046875,4486.10009765625,4475.2001953125,4476.39990234375,1770
4476.5,4487.5,4475.10009765625,4485.7001953125,2068
4485.89990234375,4494.2001953125,4484.39990234375,4487.5,1496
4487.5,4494.89990234375,4487.2998046875,4490.89990234375,1553
4490.7998046875,4495.5,4490.0,4491.7001953125,1450
4491.39990234375,4499.7998046875,4491.10009765625,4497.0,977
4497.2998046875,4498.60009765625,4492.89990234375,4497.10009765625,1116
4497.5,4499.39990234375,4495.10009765625,4495.39990234375,885
4495.7998046875,4503.7001953125,4493.7001953125,4502.7998046875,1042
4502.10009765625,4502.7001953125,4495.89990234375,4497.89990234375,1020
4497.2998046875,4501.60009765625,4493.10009765625,4501.2001953125,2371
4501.0,4503.60009765625,4498.10009765625,4498.7001953125,1324
4498.7001953125,4502.2998046875,4495.2998046875,4502.2998046875,1664
4502.2998046875,4507.2998046875,4501.89990234375,4505.39990234375,1889
4505.7001953125,4508.10009765625,4496.5,4499.0,5089
4499.0,4509.0,4496.5,4507.89990234375,3904
4507.7001953125,4508.10009765625,4491.7001953125,4491.89990234375,2451
4491.7998046875,4495.7998046875,4485.5,4492.7998046875,2952
4492.39990234375,4495.2998046875,4484.60009765625,4485.7001953125,2304
4485.5,4488.10009765625,4469.10009765625,4479.5,4872
4479.39990234375,4514.10009765625,4478.89990234375,4509.5,10553
4509.89990234375,4531.89990234375,4509.89990234375,4523.7998046875,6635
4524.0,4540.5,4519.5,4534.39990234375,4307
4534.7998046875,4539.2001953125,4526.5,4527.7998046875,3211
4528.10009765625,4558.39990234375,4527.7998046875,4533.0,7257
4532.2998046875,4542.7998046875,4531.0,4540.2998046875,2183
4540.2998046875,4541.2001953125,4530.39990234375,4532.10009765625,2181
4532.10009765625,4538.7998046875,4531.5,4537.0,1660
4536.60009765625,4536.60009765625,4527.10009765625,4529.2998046875,1683
4529.2001953125,4537.10009765625,4527.39990234375,4537.0,1468
4537.10009765625,4538.7998046875,4533.39990234375,4537.5,1997
4537.7001953125,4542.0,4534.2001953125,4537.7998046875,2145
4537.7998046875,4540.39990234375,4534.2001953125,4535.5,2279
4535.7998046875,4539.7001953125,4533.0,4536.2001953125,1387
4536.2998046875,4538.60009765625,4533.5,4535.10009765625,586
4534.60009765625,4537.7001953125,4532.2998046875,4536.39990234375,581
4536.39990234375,4540.0,4535.2001953125,4538.60009765625,637
4538.60009765625,4546.89990234375,4538.39990234375,4540.7001953125,1727
4540.39990234375,4548.5,4540.39990234375,4545.60009765625,598
4545.7998046875,4548.5,4544.89990234375,4546.7998046875,457
4547.2998046875,4549.2998046875,4546.60009765625,4548.10009765625,595
4548.2998046875,4553.7998046875,4547.60009765625,4549.5,1176
4549.7001953125,4551.2998046875,4547.89990234375,4548.10009765625,1216
4548.39990234375,4553.2001953125,4548.0,4549.2001953125,744
4549.7001953125,4551.2001953125,4545.7998046875,4548.60009765625,603
4549.0,4549.10009765625,4545.2001953125,4546.2001953125,516
4545.89990234375,4547.2998046875,4544.5,4546.2001953125,419
4548.0,4549.89990234375,4539.5,4541.2001953125,438
4541.2001953125,4541.2001953125,4536.0,4540.10009765625,481
4540.5,4544.2998046875,4540.2001953125,4543.0,321
4542.7998046875,4545.60009765625,4538.2001953125,4541.2001953125,756
4540.89990234375,4544.7001953125,4538.89990234375,4541.2001953125,253
4541.2998046875,4541.60009765625,4535.60009765625,4539.39990234375,367
4539.60009765625,4546.2001953125,4538.89990234375,4544.2001953125,458
4543.7998046875,4548.60009765625,4543.39990234375,4548.0,296
4548.2998046875,4549.89990234375,4541.39990234375,4546.2001953125,489
4546.89990234375,4554.60009765625,4538.7001953125,4545.2001953125,1190
4545.60009765625,4547.10009765625,4541.39990234375,4545.2001953125,182
4545.5,4550.2001953125,4543.89990234375,4547.0,321
4548.0,4562.5,4541.39990234375,4562.10009765625,2167
4562.10009765625,4570.2001953125,4558.89990234375,4569.10009765625,1669
4568.7001953125,4572.39990234375,4563.60009765625,4569.7001953125,1132
4569.39990234375,4570.10009765625,4560.7001953125,4562.89990234375,891
4562.60009765625,4566.7998046875,4552.60009765625,4554.2001953125,822
4553.5,4555.10009765625,4541.60009765625,4542.10009765625,1182
